Title,url,Extent,Date,Language,Format,Rights
"Committee on South Asian Women Newsletter Vol. 1, No. 1",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/a40467e2-edd2-4847-80af-c115032e4272/content,5 pages,1983-01,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 1, No. 2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/0e9016f7-f9dd-413f-b671-f75d181cbb5e/content,10 pages,1983-03,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 1, No. 3",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/b3a45ece-ad15-49e1-8c5f-e63aa7bae404/content,11 pages,1983-05,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 1, No. 4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/8153bd76-3c33-4916-a4fb-6094184c65f7/content,10 pages,1983-07,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 1, No. 5-6",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/8acd1758-98ae-471c-9475-d717304af574/content,13 pages,1983-09-XX/1983-11-XX,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 2, No. 1",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/f2fb837c-20f3-447e-a979-49b03275375d/content,16 pages,1984-24,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 2, No. 2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/b5a3b29f-5833-4e5b-881d-f65372a3ee7a/content,16 pages,1984-21,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 2, No. 3",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/6cfdfaf9-6718-449c-833a-783bc2632864/content,16 pages,1984-22,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 2, No. 4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/d7f38e0d-34ac-443d-a815-892b2f2d7920/content,17 pages,1984-23,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 3, No. 4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/651c0508-8e23-47f9-9170-d854ac580879/content,20 pages,1985,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 3, No. 1",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/97187eb8-02f9-4f03-9635-38dbf5fb1947/content,18 pages,1985,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 3, No. 2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/524e94dc-6dbd-4e81-935c-d3503cebcfd4/content,23 pages,1985,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 3, No. 3",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/fa795efc-f531-459e-a322-f276fb128dcc/content,22 pages,1985,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 4, No. 1",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/a426521b-ef06-4cdb-b391-ab7b1b43dcd9/content,20 pages,1986,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 4, No. 2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/69c752de-c539-47a5-9a82-2b3609c6429f/content,16 pages,1986,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 4, No. 3",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/8d32d4f8-1383-4cd0-b5e6-215592870e1d/content,31 pages,1986,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 4, No. 4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/9c32a1b0-f2b7-40b6-9b8e-0f4914d2aafc/content,34 pages,1986,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 6, No. 1-2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/689e8585-6a6a-4e33-be68-a64a110378b9/content,34 pages,1988,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 6, No. 3-4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/bafc2cb3-5ef6-432e-bc41-3143f6e58957/content,32 pages,1988,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 5, No. 1-2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/77a8a12e-a007-4a4b-9705-77169be3b532/content,36 pages,1987,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 5, No. 3-4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/d689187d-5680-4d92-9f1a-50476485e6f5/content,41 pages,1987,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 7, No. 1-2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/b973f55a-7153-4d18-b3d6-4112783a2c8b/content,32 pages,,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 7, No. 3-4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/c7e87a5d-0079-4c63-b202-f16b34eaae04/content,37 pages,,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 8, No. 1-2",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/bce7de24-3eb4-4c70-aea3-98a3281b2612/content,42 pages,,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 8, No. 3-4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/fd747240-38fa-42dd-a111-0a2479898d5e/content,50 pages,,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
"Committee on South Asian Women Newsletter Vol. 9, No. 1-4",https://oaktrust.library.tamu.edu/server/api/core/bitstreams/83b34e26-1d80-4d27-b43c-f8b6439d5813/content,78 pages,,eng,reformatted digital,http://rightsstatements.org/vocab/InC/1.0/
